Designator,Mid X,Mid Y,Rotation,Layer
C1,34.77,-10.5815,0.0,bottom
C10,38.876,-6.792,90.0,bottom
C11,40.776,-9.192,90.0,bottom
C12,43.1815,-8.4815,0.0,bottom
C13,42.3655,-4.4865,180.0,bottom
C14,42.2655,-6.1865,180.0,bottom
C15,45.0735,-3.334,90.0,top
C16,33.065158,-20.5924,0.0,bottom
C17,35.615158,-20.6424,0.0,bottom
C2,32.154,-10.5865,180.0,bottom
C3,36.454,-12.8865,180.0,bottom
C4,34.454,-14.0865,180.0,bottom
C5,32.454,-12.6865,180.0,bottom
C6,32.9655,-6.2815,0.0,top
C7,32.9655,-4.5815,0.0,top
C8,30.671,-3.592,90.0,top
C9,45.476,-10.892,90.0,bottom
CN1,54.2735,-10.084,90.0,top
CN2,45.9735,-18.784,0.0,top
D1,19.3015,-1.8415,180.0,top
D2,24.1685,-1.8415,0.0,top
D3,17.5655,-9.084,180.0,top
D4,22.3735,-9.084,0.0,top
D5,40.9735,-11.784,0.0,top
D6,17.7812,-16.3164,180.0,top
D7,40.9665,-13.914,0.0,top
D8,22.6075,-16.284,0.0,top
D9,40.9665,-13.914,180.0,bottom
L1,33.8235,-6.571,180.0,bottom
LED1,36.173,-2.298,0.0,bottom
Q1,21.1015,-5.6415,90.0,top
Q2,20.8335,-5.6415,90.0,bottom
Q3,21.2015,-12.8415,90.0,top
Q4,20.8735,-12.884,90.0,bottom
Q5,21.0935,-20.0765,90.0,top
Q6,20.8695,-20.104,90.0,bottom
R1,19.2345,-1.8415,0.0,bottom
R10,27.31,-17.384,270.0,top
R11,17.7812,-16.2814,0.0,bottom
R12,15.5956,-18.2384,270.0,top
R13,32.8405,-2.284,0.0,bottom
R14,43.8735,-10.831,90.0,bottom
R15,42.3735,-10.831,270.0,bottom
R16,40.0735,-5.484,270.0,bottom
R17,31.129,-19.784,180.0,bottom
R18,30.662,-21.217,90.0,bottom
R2,24.3015,-1.8415,180.0,bottom
R3,27.437,-7.684,90.0,top
R4,29.8794,-2.0066,180.0,bottom
R5,17.5655,-9.084,0.0,bottom
R6,15.875,-11.0986,270.0,top
R7,39.041,-10.4394,0.0,bottom
R8,39.1934,-11.4046,0.0,bottom
R9,40.894,-11.7868,270.0,bottom
U1,34.3735,-13.584,180.0,top
U2,41.5735,-7.913,270.0,top
U3,33.210158,-20.5924,180.0,top
U4,35.794916,-20.5424,180.0,top
U5,7.162,-12.584,90.0,bottom
